razao_social;cnpj;placa;servico_regular;servico_fretado;servico_semiurbano;data_validade_csv;validade_seguro
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;CVP-2516;Não;Sim;Não;22/03/2020;04/10/2020
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;DAO-3323;Não;Sim;Não;17/05/2020;25/04/2020
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;DJF-0971;Não;Sim;Não;24/06/2020;11/11/2020
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;GVI-6977;Não;Sim;Não;03/01/2020;04/10/2020
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;IJV-8252;Não;Sim;Não;05/04/2020;13/07/2020
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;KOJ-1786;Não;Sim;Não;09/10/2020;06/09/2020
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;KOJ-1852;Não;Sim;Não;08/04/2020;06/09/2020
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;MTK-1706;Não;Sim;Não;15/05/2020;01/04/2020
A A DOS SANTOS TRANSPORTES;24.984.903/0001-12;LND-1209;Não;Sim;Não;18/01/2020;01/04/2020
A B F TRANSPORTES LTDA;07.292.974/0001-35;BAV-8265;Não;Sim;Não;14/12/2019;01/11/2020
A BURIG EIRELI;29.460.824/0001-26;MIF-0D76;Não;Sim;Não;04/03/2020;24/07/2020
A C DA SILVA TAVARES CAR TRANSPORTE EXECUTIVO E TURISMO EIRELI - ME;22.872.316/0001-06;KWW-6431;Não;Sim;Não;17/01/2020;10/10/2020
A D FERREIRA TRANSPORTES EIRELI;13.600.919/0001-68;AWG-7950;Não;Sim;Não;10/10/2020;10/10/2020
A D FERREIRA TRANSPORTES EIRELI;13.600.919/0001-68;BKU-3603;Não;Sim;Não;16/10/2020;12/08/2020
A D FERREIRA TRANSPORTES EIRELI;13.600.919/0001-68;NZT-8648;Não;Sim;Não;17/08/2020;16/10/2020
A F ESCOBEDO EIRELI;06.009.414/0001-68;NBH-4336;Não;Sim;Não;03/01/2020;11/03/2020
A FRAZAO DE SOUSA LIMA TURISMO EIRELI;26.265.279/0001-29;GUG-0664;Não;Sim;Não;14/05/2020;15/05/2020
A G M TURISMO LTDA;27.409.375/0001-66;GVE-9033;Não;Sim;Não;17/01/2020;03/12/2019
A G M TURISMO LTDA;27.409.375/0001-66;GXH-2771;Não;Sim;Não;10/01/2020;03/12/2019
A G M TURISMO LTDA;27.409.375/0001-66;KOO-1432;Não;Sim;Não;09/04/2020;03/12/2019
A GLADIADORA TRANSPORTE EIRELI;22.787.632/0001-80;AAA-4259;Não;Sim;Não;04/12/2019;26/11/2020
A GLADIADORA TRANSPORTE EIRELI;22.787.632/0001-80;AHQ-1663;Não;Sim;Não;07/04/2020;09/05/2020
A GLADIADORA TRANSPORTE EIRELI;22.787.632/0001-80;AUV-1C47;Não;Sim;Não;10/04/2020;05/04/2020
A GLADIADORA TRANSPORTE EIRELI;22.787.632/0001-80;BBB-4259;Não;Sim;Não;18/10/2020;16/10/2020
A GLADIADORA TRANSPORTE EIRELI;22.787.632/0001-80;BDH-8J22;Não;Sim;Não;27/08/2020;14/08/2020
A GLADIADORA TRANSPORTE EIRELI;22.787.632/0001-80;MGX-8702;Não;Sim;Não;03/09/2020;05/09/2020
A J RIBEIRO BRITO VIAGENS E TURISMO EIRELI;33.340.809/0001-11;BWC-8527;Não;Sim;Não;29/02/2020;02/09/2020
A J RIBEIRO BRITO VIAGENS E TURISMO EIRELI;33.340.809/0001-11;GPN-7626;Não;Sim;Não;16/03/2020;16/09/2020
A J RIBEIRO BRITO VIAGENS E TURISMO EIRELI;33.340.809/0001-11;GQY-4063;Não;Sim;Não;02/03/2020;02/09/2020
A J RIBEIRO BRITO VIAGENS E TURISMO EIRELI;33.340.809/0001-11;IJR-8440;Não;Sim;Não;11/01/2020;27/08/2020
A J RIBEIRO BRITO VIAGENS E TURISMO EIRELI;33.340.809/0001-11;MVQ-0660;Não;Sim;Não;29/02/2020;17/09/2020
A M TURISMO FORMIGA EIRELI - EPP;11.386.081/0001-26;GVI-4983;Não;Sim;Não;14/12/2019;17/06/2020
A M TURISMO FORMIGA EIRELI - EPP;11.386.081/0001-26;GVI-7823;Não;Sim;Não;26/12/2019;23/06/2020
A M TURISMO FORMIGA EIRELI - EPP;11.386.081/0001-26;HFE-9907;Não;Sim;Não;18/07/2020;23/06/2020
A M TURISMO FORMIGA EIRELI - EPP;11.386.081/0001-26;HMH-3914;Não;Sim;Não;12/11/2020;25/11/2020
A M TURISMO FORMIGA EIRELI - EPP;11.386.081/0001-26;IME-8491;Não;Sim;Não;17/05/2020;10/05/2020
A ORTIZ GOMES LOGISTICA ME;26.942.445/0001-84;AEC-8396;Não;Sim;Não;03/05/2020;24/10/2020
A P S - TRANSPORTADORA E LOCADORA LTDA-ME;23.324.693/0001-73;AFS-1796;Não;Sim;Não;04/05/2020;09/05/2020
A P S - TRANSPORTADORA E LOCADORA LTDA-ME;23.324.693/0001-73;GPN-7915;Não;Sim;Não;01/01/2020;07/01/2020
A P S - TRANSPORTADORA E LOCADORA LTDA-ME;23.324.693/0001-73;NGV-6003;Não;Sim;Não;01/04/2020;12/08/2020
A P S - TRANSPORTADORA E LOCADORA LTDA-ME;23.324.693/0001-73;OFM-4031;Não;Sim;Não;18/04/2020;18/04/2020
A S - TOUR LTDA - ME;03.377.407/0001-20;BWF-4535;Não;Sim;Não;01/04/2020;02/10/2020
A S - TOUR LTDA - ME;03.377.407/0001-20;CGS-8780;Não;Sim;Não;07/04/2020;16/07/2020
A S - TOUR LTDA - ME;03.377.407/0001-20;MMI-1317;Não;Sim;Não;03/10/2020;20/01/2020
A S - TOUR LTDA - ME;03.377.407/0001-20;QHK-2749;Não;Sim;Não;28/06/2020;16/06/2020
A T GUIMARAES & CIA  LTDA;22.307.422/0001-47;AWT-7569;Não;Sim;Não;19/03/2020;02/10/2020
A W DE M ROCHA EIRELI;32.888.758/0001-02;NPW-4A11;Não;Sim;Não;05/08/2020;24/10/2020
A&P VIAGENS, EXCURSOES, PASSEIO E FRETAMENTO LTDA;35.027.825/0001-84;RAD-5188;Não;Sim;Não;18/11/2020;05/12/2019
A. ALVES TRANSPORTE E TURISMO LTDA - ME;08.348.422/0001-64;AWD-5006;Não;Sim;Não;09/09/2020;05/12/2019
A. ALVES TRANSPORTE E TURISMO LTDA - ME;08.348.422/0001-64;AWD-6341;Não;Sim;Não;11/03/2020;16/03/2020
A. ALVES TRANSPORTE E TURISMO LTDA - ME;08.348.422/0001-64;AYV-9223;Não;Sim;Não;13/08/2020;09/10/2020
A. ALVES TRANSPORTE E TURISMO LTDA - ME;08.348.422/0001-64;BCY-1G33;Não;Sim;Não;28/01/2020;29/03/2020
A. ALVES TRANSPORTE E TURISMO LTDA - ME;08.348.422/0001-64;DBM-2719;Não;Sim;Não;01/04/2020;16/03/2020
A. BANCHES & CIA. LTDA;14.416.511/0001-01;BCV-3I30;Não;Sim;Não;14/01/2020;22/02/2020
A. BATISTA DA SILVA FILHO TRANSPORTES DE PASSAGEIROS EIRELI - ME;28.037.451/0001-12;AQW-3508;Não;Sim;Não;08/11/2020;30/08/2020
A. BESCOROVAINE TRANSPORTES EIRELI;26.019.149/0001-06;AWI-2G24;Não;Sim;Não;14/08/2020;26/02/2020
A. C BECKER TRANSPORTES DE PASSAGEIROS - EIRELI - ME;26.409.767/0001-62;BTT-4048;Não;Sim;Não;15/03/2020;24/05/2020
A. C BECKER TRANSPORTES DE PASSAGEIROS - EIRELI - ME;26.409.767/0001-62;BWL-6428;Não;Sim;Não;15/03/2020;30/01/2020
A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME;73.500.696/0001-99;AYE-4129;Não;Sim;Não;03/01/2020;23/09/2020
A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME;73.500.696/0001-99;IOA-0249;Não;Sim;Não;29/10/2020;23/09/2020
A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME;73.500.696/0001-99;IPS-6981;Não;Sim;Não;12/08/2020;23/09/2020
A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME;73.500.696/0001-99;IRY-0075;Não;Sim;Não;23/05/2020;23/09/2020
A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME;73.500.696/0001-99;IVQ-2334;Não;Sim;Não;17/06/2020;23/09/2020
A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME;73.500.696/0001-99;IYC-9422;Não;Sim;Não;10/09/2020;23/09/2020
A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME;73.500.696/0001-99;IZK-0J68;Não;Sim;Não;11/04/2020;23/09/2020
A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME;73.500.696/0001-99;PJV-8003;Não;Sim;Não;23/09/2020;23/09/2020
A. C. ZAMPIERI - ME;18.870.897/0001-70;AGY-5948;Não;Sim;Não;29/01/2020;23/09/2020
A. C. ZAMPIERI - ME;18.870.897/0001-70;ATM-6888;Não;Sim;Não;12/09/2020;25/09/2020
A. CARLOS DA SILVA& CIA LTDA-ME;18.307.672/0001-00;AFX-8344;Não;Sim;Não;27/02/2020;15/04/2020
A. CARLOS DA SILVA& CIA LTDA-ME;18.307.672/0001-00;ATE-9303;Não;Sim;Não;25/03/2020;19/01/2020
A. CARLOS DA SILVA& CIA LTDA-ME;18.307.672/0001-00;AUY-3593;Não;Sim;Não;04/12/2019;09/01/2020
A. DE OLIVEIRA ROMERA - LOCADORA - EIRELI;11.870.015/0001-27;QOR-9412;Não;Sim;Não;22/11/2020;05/11/2020
A. F. DA SILVA SANTOS TRANSPORTES - EIRELI;30.614.371/0001-24;HQR-5834;Não;Sim;Não;15/04/2020;23/10/2020
A. F. DA SILVA SANTOS TRANSPORTES - EIRELI;30.614.371/0001-24;KOD-0007;Não;Sim;Não;10/07/2020;23/10/2020
A. F. VIAGENS LTDA - ME;05.504.664/0001-01;AAO-3009;Não;Sim;Não;16/09/2020;24/09/2020
A. F. VIAGENS LTDA - ME;05.504.664/0001-01;AVG-7012;Não;Sim;Não;09/07/2020;10/07/2020
A. F. VIAGENS LTDA - ME;05.504.664/0001-01;IXZ-5475;Não;Sim;Não;09/07/2020;10/07/2020
A. J. MASSUIA TRANSPORTES LTDA;19.358.658/0001-06;ARQ-3F36;Não;Sim;Não;25/09/2020;23/09/2020
A. M. T. MOREIRA TRANSPORTE E TURISMO EIRELI;04.491.826/0001-51;QRF-6A73;Não;Sim;Não;07/11/2020;07/03/2020
A. P. PAES DOS SANTOS EIRELI;05.942.381/0001-41;KXG-8072;Não;Sim;Não;15/06/2020;05/07/2020
A. P. PAES DOS SANTOS EIRELI;05.942.381/0001-41;LSA-0465;Não;Sim;Não;17/06/2020;05/07/2020
A. R. ALVES TRANSPORTES - EIRELI;31.839.943/0001-36;GKO-6126;Não;Sim;Não;14/04/2020;23/10/2020
A. R. O. TRANSPORTE E TURISMO LTDA - EPP;03.182.929/0001-77;IQP-6192;Não;Sim;Não;26/11/2020;20/08/2020
A. R. O. TRANSPORTE E TURISMO LTDA - EPP;03.182.929/0001-77;ITO-0131;Não;Sim;Não;19/08/2020;20/08/2020
A. S. NETTO & SILVA TRANSPORTES LTDA - ME;15.786.461/0001-09;AZU-9042;Não;Sim;Não;12/12/2019;19/04/2020
A. SHEUERMANN & CIA LTDA - EPP;98.103.757/0001-05;DTA-8959;Não;Sim;Não;17/04/2020;10/03/2020
A. T. DIAS PAULINO - TRANSPORTES - EIRELI;21.569.527/0001-01;CZX-0604;Não;Sim;Não;10/04/2020;15/01/2020
A. T. DIAS PAULINO - TRANSPORTES - EIRELI;21.569.527/0001-01;MKS-2030;Não;Sim;Não;02/05/2020;29/01/2020
A. T. PACHECO AGÊNCIA DE VIAGENS E TURISMO LTDA ME;10.817.746/0001-46;MMJ-4414;Não;Sim;Não;25/03/2020;28/04/2020
A. V. A. RIBEIRO EIRELI - ME;24.952.339/0001-56;CQH-3G77;Não;Sim;Não;25/01/2020;23/01/2020
A. V. A. RIBEIRO EIRELI - ME;24.952.339/0001-56;CZX-3008;Não;Sim;Não;26/02/2020;23/01/2020
A. V. A. RIBEIRO EIRELI - ME;24.952.339/0001-56;MQU-3130;Não;Sim;Não;07/01/2020;23/01/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;AFA-2072;Não;Sim;Não;08/02/2020;10/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;AFS-2516;Não;Sim;Não;14/05/2020;18/06/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;ANH-1223;Não;Sim;Não;10/07/2020;08/01/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;ARE-9147;Não;Sim;Não;04/06/2020;18/08/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;ATO-0983;Não;Sim;Não;24/04/2020;16/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;AVN-6386;Não;Sim;Não;02/05/2020;19/11/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BSG-7781;Não;Sim;Não;31/01/2020;01/08/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BTO-6287;Não;Sim;Não;26/12/2019;24/05/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BWF-6682;Não;Sim;Não;12/03/2020;11/03/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BWH-0447;Não;Sim;Não;11/03/2020;16/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BWU-9034;Não;Sim;Não;01/04/2020;28/01/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BXF-9500;Não;Sim;Não;18/09/2020;02/07/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BXI-0532;Não;Sim;Não;26/02/2020;30/08/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;CDM-8003;Não;Sim;Não;25/03/2020;10/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;CPG-2375;Não;Sim;Não;04/01/2020;25/07/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;CQH-7756;Não;Sim;Não;09/03/2020;09/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;CXA-0451;Não;Sim;Não;25/12/2019;27/06/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;CZB-0079;Não;Sim;Não;15/04/2020;11/07/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;DAO-7485;Não;Sim;Não;11/05/2020;01/02/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;DAO-7560;Não;Sim;Não;13/02/2020;01/02/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;DBC-2681;Não;Sim;Não;29/04/2020;30/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;DBL-0321;Não;Sim;Não;03/06/2020;17/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;EEI-6579;Não;Sim;Não;18/10/2020;23/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;EVC-6909;Não;Sim;Não;30/11/2019;27/08/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;FDZ-0936;Não;Sim;Não;29/08/2020;28/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;FFW-2837;Não;Sim;Não;12/06/2020;21/06/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;FJD-4711;Não;Sim;Não;22/01/2020;21/02/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;FNS-9388;Não;Sim;Não;25/10/2020;22/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;FXO-6670;Não;Sim;Não;09/09/2020;12/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;GAC-3233;Não;Sim;Não;09/10/2020;06/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;GKW-7761;Não;Sim;Não;11/12/2019;18/04/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;GUO-9225;Não;Sim;Não;20/05/2020;26/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;GVQ-2920;Não;Sim;Não;16/08/2020;20/08/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;GWI-7249;Não;Sim;Não;29/02/2020;13/06/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;GXH-5313;Não;Sim;Não;04/03/2020;07/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;HUX-4E87;Não;Sim;Não;11/03/2020;10/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;HVK-5950;Não;Sim;Não;02/01/2020;10/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;IAJ-6938;Não;Sim;Não;09/09/2020;17/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;IGA-8817;Não;Sim;Não;23/02/2020;02/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;IJS-0282;Não;Sim;Não;01/01/2020;12/07/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;ILO-8337;Não;Sim;Não;04/01/2020;19/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;IPX-4301;Não;Sim;Não;13/09/2020;01/02/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JDP-1368;Não;Sim;Não;06/05/2020;04/04/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JFQ-1966;Não;Sim;Não;11/10/2020;28/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JGG-9741;Não;Sim;Não;26/09/2020;27/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JHI-1115;Não;Sim;Não;30/10/2020;30/07/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JHJ-1572;Não;Sim;Não;08/10/2020;30/07/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JHV-0433;Não;Sim;Não;24/04/2020;17/08/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JIA-0491;Não;Sim;Não;05/11/2020;14/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JJB-8528;Não;Sim;Não;12/11/2020;09/04/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JJQ-0546;Não;Sim;Não;23/10/2020;09/04/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JJX-9251;Não;Sim;Não;14/08/2020;27/07/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JJZ-2997;Não;Sim;Não;11/04/2020;23/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JJZ-7832;Não;Sim;Não;27/05/2020;17/03/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JSM-8021;Não;Sim;Não;27/03/2020;07/05/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;JUX-7387;Não;Sim;Não;15/10/2020;06/01/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;KCN-8337;Não;Sim;Não;01/01/2020;22/01/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;KHV-1028;Não;Sim;Não;05/06/2020;20/05/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;KMJ-3416;Não;Sim;Não;19/05/2020;22/08/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;KUB-7384;Não;Sim;Não;14/05/2020;22/08/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;KYA-7111;Não;Sim;Não;21/02/2020;22/08/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;LKP-3790;Não;Sim;Não;08/03/2020;07/03/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;LUU-8075;Não;Sim;Não;26/11/2020;19/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;MBA-0955;Não;Sim;Não;30/03/2020;19/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;MDM-9359;Não;Sim;Não;22/10/2020;13/06/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;MDN-9573;Não;Sim;Não;24/01/2020;19/08/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;MDV-0734;Não;Sim;Não;13/06/2020;12/06/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;MWY-2993;Não;Sim;Não;07/10/2020;24/01/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;NJY-5376;Não;Sim;Não;10/10/2020;21/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;NPZ-8182;Não;Sim;Não;13/12/2019;08/05/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;OBX-3845;Não;Sim;Não;18/06/2020;03/07/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;OGQ-3522;Não;Sim;Não;09/08/2020;29/07/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;ONA-1936;Não;Sim;Não;16/10/2020;17/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;ONC-3925;Não;Sim;Não;21/02/2020;17/12/2019
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;OVO-0810;Não;Sim;Não;29/08/2020;03/09/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;PBD-7511;Não;Sim;Não;07/10/2020;11/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;PBO-7615;Não;Sim;Não;31/01/2020;15/03/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;PKJ-3454;Não;Sim;Não;07/11/2020;19/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;PUC-3747;Não;Sim;Não;14/01/2020;19/10/2020
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;QTP-9217;Não;Sim;Não;17/09/2020;19/09/2020
A.A. FELICIANO DE FREITAS & CIA LTDA;07.175.842/0001-23;BXG-0993;Não;Sim;Não;20/03/2020;19/09/2020
A.A.I. TRANSPORTE E TURISMO LTDA-ME;17.881.387/0001-35;MBP-4399;Não;Sim;Não;19/12/2019;12/02/2020
A.A.I. TRANSPORTE E TURISMO LTDA-ME;17.881.387/0001-35;MQA-8C83;Não;Sim;Não;25/02/2020;12/02/2020
A.C. MARIANO TRANSPORTE E TURISMO LTDA;23.231.571/0001-32;ALH-2488;Não;Sim;Não;19/12/2019;18/11/2020
A.C. MORENO TRANSPORTES EIRELI;30.550.777/0001-90;AUZ-7C11;Não;Sim;Não;04/10/2020;07/05/2020
A.C. MORENO TRANSPORTES EIRELI;30.550.777/0001-90;AVK-2A93;Não;Sim;Não;05/11/2020;29/04/2020
A.C. MORENO TRANSPORTES EIRELI;30.550.777/0001-90;AYR-5641;Não;Sim;Não;27/09/2020;28/05/2020
