razao_social;cnpj;placa;servico_regular;servico_fretado;servico_semiurbano;data_validade_csv;validade_seguro;ano_fabricacao;categoria_veiculo;nr_assentos_categoria;nr_assentos;acessibilidade;tipo_veiculo
JEFFERSON DE FRANCA FRETAMENTO LTDA;09.569.885/0001-19;ADV-8G17;Não;Sim;Não;2025-02-02;2025-06-05;1993;Executivo;47;47;Sem Acessibilidade;Ônibus
LOCATUR TURISMO LTDA.;07.207.952/0001-20;AEQ-6363;Não;Sim;Não;2025-04-12;2025-04-12;2018;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
EDEMILSON DA PAZ FAGUNDES LTDA;50.339.968/0001-15;AEV-8D15;Não;Sim;Não;2025-02-02;2025-03-08;1994;Executivo;50;50;Sem Acessibilidade;Ônibus
CDK TRANSPORTE TURÍSTICO LTDA;03.448.410/0001-98;AEY-1B54;Não;Sim;Não;2025-06-10;2025-01-06;1994;Executivo;48;48;Sem Acessibilidade;Ônibus
EMERSON L. S. FERREIRA & CIA LTDA;07.703.696/0001-61;AFM-5493;Não;Sim;Não;2025-05-14;2025-04-24;1995;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
FENIX TRANSPORTADORA E TURISMO LTDA;34.284.459/0001-86;AFO-7E35;Não;Sim;Não;2025-03-20;2024-12-22;1995;Executivo;28;28;Sem Acessibilidade;Ônibus
TRANSPORTES SOMER E ZENI LTDA;05.769.928/0001-59;AFT-3054;Não;Sim;Não;2025-01-11;2025-07-02;1995;Executivo;45;45;Q - Cadeira de transbordo;Ônibus
R.S. - VALDINEIA COLOMBES DA SILVA LTDA;53.965.835/0001-42;AFX-2C29;Não;Sim;Não;2025-04-05;2025-03-06;2012;Executivo;16;16;Q - Cadeira de transbordo;Micro-ônibus
OLITUR TURISMO E LOCACOES EIRELI;27.805.436/0001-04;AGA-1G36;Não;Sim;Não;2024-12-20;2025-02-02;1996;Executivo;46;46;Sem Acessibilidade;Ônibus
ALBERTO & ANDRADE TURISMO LTDA;48.870.623/0001-41;AGC-9H08;Não;Sim;Não;2025-04-18;2025-02-26;1996;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
TRAVIELL VIAGENS LTDA;39.656.170/0001-64;AGE-6B53;Não;Sim;Não;2025-01-30;2025-02-23;2001;Executivo;48;48;Q - Cadeira de transbordo;Ônibus
VIACAO CAMPESTRE LTDA;09.254.364/0001-72;AGE-8D74;Não;Sim;Não;2025-02-08;2025-05-18;2001;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
ALFREDO LORENZI NETO - EIRELI - ME;07.195.908/0001-47;AGH-0I84;Não;Sim;Não;2025-01-29;2025-02-26;1996;Executivo;42;42;Sem Acessibilidade;Ônibus
CLOVIS TRANSPORTE TURISTICO LTDA - ME;03.627.183/0001-68;AGI-4883;Não;Sim;Não;2025-01-04;2025-03-19;1996;Convencional;51;51;Sem Acessibilidade;Ônibus
CHAMBERS TURISMO LTDA;45.451.522/0001-48;AGM-9B75;Não;Sim;Não;2025-04-08;2025-05-03;1996;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
DESTAQUE PUBLICIDADE E TRANSPORTES LTDA;80.209.893/0001-19;AGP-4750;Não;Sim;Não;2025-04-01;2025-02-24;1992;Executivo;46;46;Sem Acessibilidade;Ônibus
A J DIAS TRANSPORTES E TURISMO LTDA;28.473.696/0001-92;AGX-2G23;Não;Sim;Não;2025-01-08;2025-06-24;1996;Executivo;51;51;H - Cadeira de transbordo.;Ônibus
CORACAO BRASIL TRANSPORTES E TURISMO LTDA;46.351.403/0001-86;AGY-8G55;Não;Sim;Não;2025-05-05;2025-07-02;1997;Executivo;52;52;Sem Acessibilidade;Ônibus
MONTEIRO TOUR E TRANSPORTES LTDA;53.470.075/0001-00;AHA-9G26;Não;Sim;Não;2025-01-27;2025-05-28;1997;Executivo;50;50;Sem Acessibilidade;Ônibus
ADEMIR CORREIA LEITE LIMITADA;30.310.222/0001-71;AHC-2361;Não;Sim;Não;2025-04-28;2025-05-15;1997;Executivo;50;50;Sem Acessibilidade;Ônibus
JP TRANSPORTES RODOVIARIOS DE PASSAGEIROS LTDA;50.542.068/0001-70;AHC-6C14;Não;Sim;Não;2025-06-04;2025-06-05;1997;Executivo;42;42;Sem Acessibilidade;Ônibus
R DOS S BERNARDO TURISMO LTDA;49.818.027/0001-85;AHH-2F07;Não;Sim;Não;2025-05-11;2025-03-19;1997;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
COOPERSIND COOPERATIVA DE TRANSPORTES DE CARGAS, PASSAGEIROS, ESCOLAR E TURISMO DE MINAS GERAIS;20.375.162/0001-11;AHI-5030;Não;Sim;Não;2025-04-15;2025-05-10;1986;Executivo;50;50;Q - Cadeira de transbordo;Ônibus
J M SILVESTRE - TRANSPORTES LTDA;43.739.672/0001-26;AHK-0B31;Não;Sim;Não;2025-05-14;2025-03-27;2013;Executivo;20;20;Sem Acessibilidade;Micro-ônibus
MAIA TUR TRANSPORTES E LOCACOES LTDA;39.653.789/0001-15;AHK-5E83;Não;Sim;Não;2025-04-21;2025-02-05;1997;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
GILSON ROGERIO PRUDENTE TURISMO E TRANSPORTES EIRELI;31.770.838/0001-98;AHM-8C66;Não;Sim;Não;2025-04-04;2025-05-02;1997;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
EJ TURISMO EIRELI;34.012.803/0001-88;AHN-0G70;Não;Sim;Não;2025-06-06;2025-07-09;1997;Executivo;47;47;Sem Acessibilidade;Ônibus
REDITUR TRANSPORTE DE PASSAGEIROS LTDA;82.073.867/0001-31;AHN-3292;Não;Sim;Não;2025-02-15;2025-01-18;1997;Executivo;27;27;Q - Cadeira de transbordo;Ônibus
SAMUEL TURISMO LTDA;55.891.935/0001-05;AHN-3E12;Não;Sim;Não;2025-06-05;2025-01-06;1997;Executivo;41;41;Sem Acessibilidade;Ônibus
FENIX TRANSPORTADORA E TURISMO LTDA;34.284.459/0001-86;AHN-3E31;Não;Sim;Não;2024-12-24;2025-01-12;1997;Executivo;48;48;Q - Cadeira de transbordo;Ônibus
RDS TURISMO LTDA;18.477.040/0001-94;AHQ-1673;Não;Sim;Não;2024-12-26;2025-07-05;1997;Executivo;50;50;Q - Cadeira de transbordo;Ônibus
ROCHEDO TRANSPORTADORA TURISTICA EIRELI;32.447.771/0001-18;AHQ-1J93;Não;Sim;Não;2025-02-15;2025-02-19;1997;Executivo;46;46;Sem Acessibilidade;Ônibus
MARQUES TURISMO LTDA;49.598.768/0001-06;AHQ-2E84;Não;Sim;Não;2025-01-12;2025-01-14;1997;Executivo;28;28;Sem Acessibilidade;Ônibus
OLIVEIRA TUR LTDA;49.802.025/0001-06;AHV-4F53;Não;Sim;Não;2025-01-11;2025-07-04;1997;Executivo;48;48;Q - Cadeira de transbordo;Ônibus
ALLANTUR - TRANSPORTES E TURISMO LTDA;19.846.612/0001-28;AHZ-2E44;Não;Sim;Não;2025-03-01;2025-03-11;2023;Executivo;37;37;E - Dispositivo de acesso instalado no veículo, interligando este com a plataforma.;Ônibus
TITAN TURISMO LTDA;26.607.469/0001-87;AIC-3E49;Não;Sim;Não;2025-03-05;2025-04-27;1998;Executivo;42;42;Sem Acessibilidade;Ônibus
C.VENANCIO & R.C. VENANCIO - TRANSPORTE DE PASSAGEIROS LTDA;33.224.183/0001-88;AIC-5D54;Não;Sim;Não;2025-06-02;2025-06-05;1998;Executivo;46;46;Sem Acessibilidade;Ônibus
PRISMA TOUR E PASSEIOS LTDA;11.777.005/0001-41;AID-0E12;Não;Sim;Não;2025-01-17;2025-07-03;1998;Executivo;46;46;Sem Acessibilidade;Ônibus
GUITUR TURISMO LTDA;45.109.341/0001-38;AIG-3G62;Não;Sim;Não;2025-01-12;2025-07-09;1999;Executivo;40;40;Q - Cadeira de transbordo;Ônibus
DUTRA TUR TURISMO DE PRADOS LTDA;35.983.515/0001-33;AIL-8B02;Não;Sim;Não;2025-03-19;2025-03-04;2008;Executivo;51;51;G - Plataforma elevatória veicular.;Ônibus
MCCM TRANSPORTES LTDA.;03.275.430/0001-04;AIL-9H57;Não;Sim;Não;2025-07-04;2025-04-20;2024;Executivo;19;19;Q - Cadeira de transbordo;Micro-ônibus
E J R TURISMO LTDA - ME;04.148.167/0001-55;AIX-1192;Não;Sim;Não;2025-05-25;2025-01-08;1999;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
L.S.P VIAGENS E TURISMO LTDA;45.597.624/0001-76;AIZ-8D62;Não;Sim;Não;2025-02-05;2025-05-13;1999;Executivo;44;44;Q - Cadeira de transbordo;Ônibus
AILTON RIBEIRO TURISMO LTDA;49.580.279/0001-19;AJA-0A52;Não;Sim;Não;2025-02-28;2025-03-12;1999;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
RMA TRANSPORTE EXCURSOES LTDA;46.058.090/0001-72;AJB-7J57;Não;Sim;Não;2025-01-04;2025-03-27;1999;Executivo;44;44;Q - Cadeira de transbordo;Ônibus
PRETINHO TURISMO LTDA-ME;19.453.704/0001-48;AJB-8207;Não;Sim;Não;2025-04-23;2025-05-13;1999;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
RAINHA ROSA DE AZEVEDO SOARES TURISMO LTDA;07.404.227/0001-41;AJC-6444;Não;Sim;Não;2025-02-22;2025-05-10;2003;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
JEFFERSON DE FRANCA FRETAMENTO LTDA;09.569.885/0001-19;AJD-3J37;Não;Sim;Não;2025-01-25;2025-07-03;1999;Executivo;50;50;Q - Cadeira de transbordo;Ônibus
SBS TUR TRANSPORTE DE PASSAGEIROS LTDA;04.127.711/0001-82;AJF-6845;Não;Sim;Não;2025-02-21;2025-06-24;2000;Executivo;49;49;Q - Cadeira de transbordo;Ônibus
AGENCIA DE VIAGENS E TURISMO SAO LUCAS LTDA;18.457.118/0001-09;AJI-0745;Não;Sim;Não;2025-04-03;2025-03-19;2000;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
TRANSCOLITA TURISMO LTDA;00.586.938/0001-35;AJK-4329;Não;Sim;Não;2025-01-17;2025-05-10;2000;Executivo;55;55;H - Cadeira de transbordo.;Ônibus
EDINA PEREIRA DA SILVA LEITE & CIA LTDA;21.872.074/0001-98;AJK-9J96;Não;Sim;Não;2025-01-03;2025-07-04;2005;Executivo;27;27;Q - Cadeira de transbordo;Ônibus
AUTO VIACAO VILA VELHA PONTAGROSSENSE EIRELI;03.689.629/0001-89;AJK-9J97;Não;Sim;Não;2024-12-28;2025-05-22;2006;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
J P MACHADO VIAGENS E TURISMO LTDA;45.368.754/0001-37;AJM-1H43;Não;Sim;Não;2025-01-05;2025-06-13;2000;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
VITOR GABRIEL F. MATTES VIAGENS E TURISMO LTDA;39.985.481/0001-77;AJM-5G53;Não;Sim;Não;2025-05-05;2025-03-01;2000;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
J & L FRETAMENTOS LTDA;36.724.824/0001-51;AJM-6987;Não;Sim;Não;2025-05-27;2025-06-07;2000;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
LD TURISMO LTDA;41.269.174/0001-31;AJM-6J78;Não;Sim;Não;2025-01-12;2025-01-08;2000;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
COLLET VIAGENS LTDA;26.932.928/0001-06;AJM-7543;Não;Sim;Não;2025-04-01;2025-05-20;2000;Executivo;26;26;Q - Cadeira de transbordo;Ônibus
SPW TURISMO LTDA;16.482.575/0001-28;AJM-7593;Não;Sim;Não;2025-02-27;2025-05-25;2000;Executivo;26;26;Q - Cadeira de transbordo;Ônibus
CIDADE ALTA TRANSPORTE TURISMO LTDA - ME;28.062.564/0001-78;AJM-7F92;Não;Sim;Não;2025-02-01;2025-02-28;2000;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
SAMUEL TURISMO LTDA;55.891.935/0001-05;AJM-7G79;Não;Sim;Não;2025-01-26;2024-12-31;2000;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
BRAGA TURISMO SJDR LTDA;48.764.409/0001-00;AJM-9B17;Não;Sim;Não;2025-03-05;2025-01-07;2000;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
HARMONIA TURISMO LTDA;21.331.113/0001-40;AJO-9C25;Não;Sim;Não;2025-02-06;2025-05-27;2000;Executivo;57;57;Q - Cadeira de transbordo;Ônibus
S. BURAKOUSKI TRANSPORTES LTDA;46.896.305/0001-24;AJO-9G31;Não;Sim;Não;2025-01-03;2025-01-02;2000;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
COOPERSERRANA - COOPERATIVA DE TRANSPORTADORES ESCOLARES E ALTERNATIVOS DE NOVA SERRANA MG;26.664.087/0001-95;AJP-3301;Não;Sim;Não;2025-04-15;2025-04-18;2000;Executivo;52;52;Q - Cadeira de transbordo;Ônibus
OPCAO TURISMO E VIAGENS LTDA;16.416.366/0001-86;AJP-4942;Não;Sim;Não;2025-06-06;2025-01-04;2000;Executivo;37;37;H - Cadeira de transbordo.;Ônibus
ES TURISMO LTDA;39.692.851/0001-88;AJP-4E27;Não;Sim;Não;2025-04-29;2025-01-10;2000;Leito;45;45;H - Cadeira de transbordo.;Ônibus
RSJ TRANSPORTES E TURISMO LTDA;34.149.934/0001-01;AJP-4E41;Não;Sim;Não;2025-01-17;2025-07-08;2000;Executivo;45;45;D - Passagem em nível da plataforma de embarque / desembarque do terminal (ou ponto de parada) para o salão de passageiros.;Ônibus
COLINA TUR TRANSPORTES LTDA;07.592.349/0001-09;AJV-9C48;Não;Sim;Não;2024-12-20;2025-06-21;2000;Executivo;52;52;Q - Cadeira de transbordo;Ônibus
A DE FATIMA MOURA DOS SANTOS - SERVICOS DE TRANSPORTES LTDA;41.363.429/0001-20;AKC-8685;Não;Sim;Não;2024-12-24;2025-06-19;2002;Executivo;44;44;Q - Cadeira de transbordo;Ônibus
ADEILDO BEZERRA DE SOUZA EIRELI - ME;02.521.278/0001-30;AKH-8772;Não;Sim;Não;2024-12-27;2025-06-12;2002;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
COMERCIO E TRANSPORTE CAPINZAL LTDA;00.068.575/0001-46;AKP-3B53;Não;Sim;Não;2025-06-12;2025-04-27;2002;Executivo;31;31;Q - Cadeira de transbordo;Ônibus
RAHMEIER - VIAGENS E TURISMO LTDA;02.509.965/0001-30;AKV-7547;Não;Sim;Não;2025-01-05;2025-06-30;2003;Executivo;36;36;Q - Cadeira de transbordo;Ônibus
EXPRESSO DO VALE LOCACAO DE VEICULOS LTDA;23.304.925/0001-21;AKV-7E79;Não;Sim;Não;2025-03-24;2025-02-03;2003;Executivo;18;18;Q - Cadeira de transbordo;Ônibus
VIA TURISMO E VIAGENS LTDA ME;12.250.038/0001-00;AKV-9171;Não;Sim;Não;2025-04-08;2025-04-16;2003;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
TITAN TURISMO LTDA;26.607.469/0001-87;AKV-9B72;Não;Sim;Não;2025-01-01;2025-07-01;2003;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
CLAUDIO DIAS FERREIRA NOVA TURISMO LTDA;24.437.275/0001-55;AKW-2608;Não;Sim;Não;2024-12-27;2025-06-19;2003;Executivo;42;42;H - Cadeira de transbordo.;Ônibus
CATTANI SUL TRANSPORTES E TURISMO LTDA;77.472.371/0001-09;AKX-6180;Não;Sim;Não;2025-02-15;2025-05-23;2003;Executivo;27;27;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;ALA-6H36;Não;Sim;Não;2025-01-27;2025-06-06;2003;Executivo;49;49;Q - Cadeira de transbordo;Ônibus
LUAN TUR VIAGENS LTDA;26.103.696/0001-75;ALD-3046;Não;Sim;Não;2025-02-14;2025-07-01;2003;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
TEIXEIRA TURISMO LTDA;48.045.453/0001-60;ALI-6J04;Não;Sim;Não;2025-02-01;2025-02-28;2003;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
OLETUR TRANSPORTADORA TURISTICA LTDA;03.718.785/0001-20;ALI-7B82;Não;Sim;Não;2025-04-10;2025-01-09;2003;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
PRADO & PRADO VIAGENS E TURISMO LTDA;43.982.329/0001-08;ALI-7B86;Não;Sim;Não;2025-05-01;2025-05-09;2003;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
MAGALI DIEHL TURISMO LTDA;07.530.888/0001-13;ALP-0H18;Não;Sim;Não;2025-04-01;2025-03-27;2004;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
COOPERATIVA DE TRANSPORTES RODOVIARIOS DE PASSAGEIROS - COOTRANS/ANP;41.577.078/0001-50;ALR-0F93;Não;Sim;Não;2025-03-24;2025-06-18;2004;Executivo;48;48;Q - Cadeira de transbordo;Ônibus
THERMAS SUL TRANSPORTES COLETIVOS LTDA;08.430.077/0001-03;ALR-6032;Não;Sim;Não;2025-01-02;2025-05-19;2004;Executivo;43;43;Q - Cadeira de transbordo;Ônibus
D LARA VIAGENS E TURISMO LTDA;33.187.151/0001-50;ALU-5D04;Não;Sim;Não;2025-01-11;2025-03-18;2003;Executivo;22;22;Q - Cadeira de transbordo;Ônibus
J. CARLOS BONFIM TEIXEIRA - TRANSPORTES E LOCACOES - EIRELI;34.627.819/0001-03;ALU-9I55;Não;Sim;Não;2025-02-16;2025-02-13;2003;Executivo;48;48;Q - Cadeira de transbordo;Ônibus
VIACAO TRES CORACOES LTDA;25.239.617/0001-95;AMA-1421;Não;Sim;Não;2025-03-13;2025-01-08;2004;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
EDEMILSON DA PAZ FAGUNDES LTDA;50.339.968/0001-15;AMA-1E63;Não;Sim;Não;2025-03-20;2025-04-08;2004;Executivo;45;45;Q - Cadeira de transbordo;Ônibus
F K PARDINHO  LTDA;04.971.078/0001-04;AMB-3E53;Não;Sim;Não;2025-04-03;2025-04-30;2004;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
N & N TURISMO LTDA;19.640.165/0001-56;AMD-9590;Não;Sim;Não;2025-03-09;2025-06-10;2004;Executivo;51;51;Q - Cadeira de transbordo;Ônibus
N & N TURISMO LTDA;19.640.165/0001-56;AMD-9592;Não;Sim;Não;2025-03-26;2025-06-17;2004;Executivo;51;51;Q - Cadeira de transbordo;Ônibus
TITAN TURISMO LTDA;26.607.469/0001-87;AMD-9F93;Não;Sim;Não;2025-03-13;2025-03-21;2004;Executivo;50;50;Q - Cadeira de transbordo;Ônibus
BHW TRANSPORTES LTDA;10.752.552/0001-00;AME-2275;Não;Sim;Não;2025-03-02;2024-12-27;2004;Executivo;44;44;Q - Cadeira de transbordo;Ônibus
TITAN TURISMO LTDA;26.607.469/0001-87;AME-2C74;Não;Sim;Não;2025-02-23;2025-03-27;2004;Executivo;51;51;H - Cadeira de transbordo.;Ônibus
EDSON AGENCIA DE VIAGENS EXPRESSO E TURISMO LTDA;11.482.281/0001-82;AME-2C90;Não;Sim;Não;2025-02-15;2025-05-10;2004;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
EXATO SERVICOS EM GERAL LTDA;19.289.764/0001-77;AME-2C91;Não;Sim;Não;2025-01-01;2025-07-01;2004;Executivo;46;46;F - Rampa móvel colocada entre o veículo e a plataforma.;Ônibus
J C D SANTOS  LTDA;02.535.076/0001-47;AME-6I13;Não;Sim;Não;2025-05-26;2025-05-08;2004;Executivo;51;51;H - Cadeira de transbordo.;Ônibus
RESENDE E ANDRADE TURISMO LTDA - ME;11.349.257/0001-70;AME-6I16;Não;Sim;Não;2025-01-03;2025-06-22;2004;Executivo;50;50;Q - Cadeira de transbordo;Ônibus
LETICIA O MENDES TURISMO EIRELI;20.959.505/0001-95;AME-6I36;Não;Sim;Não;2025-02-02;2025-03-28;2004;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
RENAN VIAGENS E TURISMO LTDA;49.178.618/0001-35;AME-6I41;Não;Sim;Não;2025-03-09;2025-03-17;2004;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
A J RIBEIRO BRITO VIAGENS E TURISMO LTDA;33.340.809/0001-11;AME-7D71;Não;Sim;Não;2025-06-02;2025-07-07;2004;Executivo;51;51;Q - Cadeira de transbordo;Ônibus
JACKS LOCADORA LTDA;17.265.009/0001-27;AME-7D78;Não;Sim;Não;2024-12-28;2025-06-20;2004;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
ANGELO MARCIO DA SILVA NOGUEIRA LTDA;40.467.960/0001-80;AME-7D96;Não;Sim;Não;2025-03-18;2025-01-17;2004;Executivo;48;48;Q - Cadeira de transbordo;Ônibus
PORTTARE VIAGENS E LOCADORA DE VEICULOS LTDA;20.392.367/0001-05;AMF-0368;Não;Sim;Não;2025-04-30;2024-12-21;2004;Executivo;42;42;H - Cadeira de transbordo.;Ônibus
MEL TUR TRANSPORTE E TURISMO LTDA;39.675.146/0001-72;AMF-0C84;Não;Sim;Não;2025-03-03;2025-03-05;2004;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
COOPTUR COOPERATIVA DE TRANSPORTES EM GERAL TURISTICOS & SERVICOS;23.841.160/0001-69;AMF-0D65;Não;Sim;Não;2025-05-18;2025-03-29;2004;Executivo;42;42;H - Cadeira de transbordo.;Ônibus
PESENTI - TRANSPORTES E TURISMO LTDA;16.750.578/0001-03;AMF-0D69;Não;Sim;Não;2025-03-02;2025-05-02;2004;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
AGENCIA DE VIAGEM FLASH TURISMO LTDA;04.400.132/0001-61;AMF-6F32;Não;Sim;Não;2025-06-09;2025-06-09;2004;Executivo;51;51;Q - Cadeira de transbordo;Ônibus
R.COSTA TUR TRANSPORTE LTDA;19.857.918/0001-80;AMG-0G85;Não;Sim;Não;2025-02-12;2025-01-31;2003;Executivo;26;26;H - Cadeira de transbordo.;Ônibus
R P DA SILVA VIAGENS E TURISMO EIRELI;10.631.553/0001-04;AMG-8630;Não;Sim;Não;2025-01-09;2025-06-17;2004;Executivo;55;55;Q - Cadeira de transbordo;Ônibus
TRANSPORTADORA TURISTICA TECNOVAN LTDA;04.368.089/0001-02;AMG-8G38;Não;Sim;Não;2025-04-08;2025-04-13;2004;Executivo;48;48;Q - Cadeira de transbordo;Ônibus
