razao_social;cnpj;placa;servico_regular;servico_fretado;servico_semiurbano;data_validade_csv;validade_seguro;ano_fabricacao;categoria_veiculo;nr_assentos_categoria;nr_assentos;acessibilidade;tipo_veiculo
4S TRANSPORTES E TURISMO LTDA;21.803.876/0001-46;TJN-2D60;Não;Sim;Não;2025-09-28;2025-06-08;2024;Executivo;19;19;Sem Acessibilidade;Micro-ônibus
4SPETH TRANSPORTES LTDA - ME;21.155.563/0001-29;FLY-4879;Não;Sim;Não;2025-09-24;2025-10-04;2013;Executivo;17;17;Sem Acessibilidade;Micro-ônibus
4SPETH TRANSPORTES LTDA - ME;21.155.563/0001-29;FNZ-8062;Não;Sim;Não;2025-09-25;2025-01-18;2014;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
5S TUR LTDA;04.501.910/0001-09;LLO-9H07;Não;Sim;Não;2025-09-18;2025-01-15;2011;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
5S TUR LTDA;04.501.910/0001-09;LQB-5A77;Não;Sim;Não;2025-07-12;2025-01-15;2011;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A & E TRANSPORTE EXECUTIVO LTDA;34.060.888/0001-70;FFL-5640;Não;Sim;Não;2025-09-12;2024-12-22;2014;Executivo;20;20;Sem Acessibilidade;Micro-ônibus
A & M COMERCIO E TRANSPORTE LTDA;12.433.658/0001-76;OVZ-0A14;Não;Sim;Não;2025-10-11;2025-10-05;2013;Executivo;28;28;H - Cadeira de transbordo.;Ônibus
A & S AGENCIAMENTO TURISTICO LTDA;28.928.797/0001-00;PGV-1B53;Não;Sim;Não;2025-10-28;2025-06-10;2017;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A & S AGENCIAMENTO TURISTICO LTDA;28.928.797/0001-00;QRJ-8A18;Não;Sim;Não;2025-08-07;2025-06-10;2019;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A & S AGENCIAMENTO TURISTICO LTDA;28.928.797/0001-00;RJP-9J93;Não;Sim;Não;2025-11-06;2025-01-30;2022;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A & Z TURISMO LTDA.;53.929.069/0001-60;NVN-7522;Não;Sim;Não;2025-09-11;2025-06-27;2011;Convencional;46;46;H - Cadeira de transbordo.;Ônibus
A & Z TURISMO LTDA.;53.929.069/0001-60;PWQ-1F16;Não;Sim;Não;2025-01-04;2025-10-03;2015;Executivo;59;59;H - Cadeira de transbordo.;Ônibus
A & Z TURISMO LTDA.;53.929.069/0001-60;QJY-5C13;Não;Sim;Não;2025-02-14;2025-10-19;2019;Executivo;15;15;Sem Acessibilidade;Micro-ônibus
A . L SERTORIO LTDA;19.793.219/0001-13;AYO-4412;Não;Sim;Não;2025-12-02;2025-03-27;2014;Executivo;15;15;Sem Acessibilidade;Micro-ônibus
A . L SERTORIO LTDA;19.793.219/0001-13;CPN-6I11;Não;Sim;Não;2025-10-21;2025-09-09;2012;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
A A RAPIDO TRANSPORTES LTDA;19.493.396/0001-84;AUU-9B85;Não;Sim;Não;2025-10-09;2025-08-06;2011;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
A A RAPIDO TRANSPORTES LTDA;19.493.396/0001-84;BBR-5G54;Não;Sim;Não;2025-08-12;2025-08-06;2017;Executivo;56;56;H - Cadeira de transbordo.;Ônibus
A A RAPIDO TRANSPORTES LTDA;19.493.396/0001-84;FJS-5C19;Não;Sim;Não;2025-10-02;2025-08-06;2018;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A B TUR TRANSPORTE EIRELI;34.292.382/0001-96;AFA-5H57;Não;Sim;Não;2025-06-09;2025-08-14;2006;Executivo;44;44;Q - Cadeira de transbordo;Ônibus
A B TUR TRANSPORTE EIRELI;34.292.382/0001-96;MFS-2F26;Não;Sim;Não;2025-01-09;2025-08-14;2008;Executivo;44;44;Q - Cadeira de transbordo;Ônibus
A C M TRANSPORTES TURISTICOS LTDA;73.500.696/0001-99;AYE-4129;Não;Sim;Não;2025-08-16;2025-11-30;2013;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
A C M TRANSPORTES TURISTICOS LTDA;73.500.696/0001-99;IPS-6981;Não;Sim;Não;2025-08-09;2025-11-30;2009;Executivo;40;40;H - Cadeira de transbordo.;Ônibus
A C M TRANSPORTES TURISTICOS LTDA;73.500.696/0001-99;IRY-0075;Não;Sim;Não;2025-08-15;2025-11-30;2011;Executivo;40;40;H - Cadeira de transbordo.;Ônibus
A C M TRANSPORTES TURISTICOS LTDA;73.500.696/0001-99;IYC-9422;Não;Sim;Não;2025-01-29;2025-11-30;2017;Executivo;55;55;H - Cadeira de transbordo.;Ônibus
A C M TRANSPORTES TURISTICOS LTDA;73.500.696/0001-99;PJV-8003;Não;Sim;Não;2025-11-27;2025-11-30;2015;Executivo;50;50;G - Plataforma elevatória veicular.;Ônibus
A C SAVOLDI  LTDA;57.620.849/0001-85;CZX-0E01;Não;Sim;Não;2025-04-30;2025-10-29;2002;Executivo;25;25;Q - Cadeira de transbordo;Ônibus
A C TRANSPORTE E TURISMO LTDA;10.706.046/0001-84;IMS-7B56;Não;Sim;Não;2025-04-23;2025-09-20;2005;Executivo;43;43;Q - Cadeira de transbordo;Ônibus
A COSTA DA SILVA EIRELI;35.656.655/0001-05;OVO-1J53;Não;Sim;Não;2025-12-11;2025-01-03;2014;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A D FERREIRA TRANSPORTES EIRELI;13.600.919/0001-68;GJL-1B98;Não;Sim;Não;2025-07-02;2025-10-09;2018;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A D S CARNEIRO TURISMO LTDA;49.842.136/0001-38;KRS-8I38;Não;Sim;Não;2025-08-12;2025-11-24;2016;Executivo;40;40;H - Cadeira de transbordo.;Ônibus
A D S CARNEIRO TURISMO LTDA;49.842.136/0001-38;NTQ-2F52;Não;Sim;Não;2025-10-22;2025-07-10;2010;Executivo;42;42;H - Cadeira de transbordo.;Ônibus
A DOS SANTOS AVILA TRANSPORTES LTDA;32.453.552/0001-41;BEE-4C24;Não;Sim;Não;2025-10-21;2025-03-06;2013;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A F DA SILVA TURISMO LTDA;47.730.739/0001-12;GSV-2D98;Não;Sim;Não;2024-12-25;2025-08-27;2007;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A F TRANSPORTE E TURISMO NATERCIA LIMITADA;54.800.068/0001-84;TCZ-4B04;Não;Sim;Não;2025-11-21;2025-12-06;2024;Executivo;17;17;Sem Acessibilidade;Micro-ônibus
A F TRANSPORTES E TURISMO LTDA;49.596.756/0001-34;GVJ-3536;Não;Sim;Não;2025-04-24;2025-07-15;2008;Executivo;48;48;Q - Cadeira de transbordo;Ônibus
A F TRANSPORTES E TURISMO LTDA;49.596.756/0001-34;GVJ-3540;Não;Sim;Não;2025-04-10;2025-07-15;2008;Executivo;48;48;Q - Cadeira de transbordo;Ônibus
A F TRANSPORTES E TURISMO LTDA;49.596.756/0001-34;OPA-2144;Não;Sim;Não;2025-10-11;2025-05-29;2012;Executivo;48;48;Q - Cadeira de transbordo;Ônibus
A F TRANSPORTES E TURISMO LTDA;49.596.756/0001-34;PWF-2724;Sim;Sim;Não;2025-06-26;2025-06-27;2015;Executivo;48;48;Q - Cadeira de transbordo;Ônibus
A G ALVES PINHEIRO TRANSPORTES LTDA;18.676.622/0001-08;PNK-5D07;Não;Sim;Não;2025-10-07;2025-10-08;2015;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A GLADIADORA TRANSPORTE LTDA;22.787.632/0001-80;AJO-9G36;Não;Sim;Não;2025-03-05;2025-09-04;2000;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
A GLADIADORA TRANSPORTE LTDA;22.787.632/0001-80;BBB-4259;Não;Sim;Não;2025-04-14;2025-11-11;2008;Executivo;45;45;H - Cadeira de transbordo.;Ônibus
A GLADIADORA TRANSPORTE LTDA;22.787.632/0001-80;BCH-1D50;Não;Sim;Não;2025-10-04;2025-10-04;2018;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A GLADIADORA TRANSPORTE LTDA;22.787.632/0001-80;BCI-5G91;Não;Sim;Não;2025-10-07;2025-10-04;2018;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A J DIAS TRANSPORTES E TURISMO LTDA;28.473.696/0001-92;CVN-5A64;Não;Sim;Não;2025-05-08;2025-11-05;2007;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A J DIAS TRANSPORTES E TURISMO LTDA;28.473.696/0001-92;DTE-0H75;Não;Sim;Não;2025-05-11;2025-11-05;2007;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
A J DIAS TRANSPORTES E TURISMO LTDA;28.473.696/0001-92;MEH-6E16;Não;Sim;Não;2025-02-01;2025-07-31;2007;Executivo;26;26;Q - Cadeira de transbordo;Ônibus
A J V - TURISMO,VIAGENS E FRETAMENTOS LTDA;32.470.879/0001-21;PXB-7F05;Não;Sim;Não;2025-11-30;2025-09-26;2015;Executivo;33;33;H - Cadeira de transbordo.;Ônibus
A L TRANSPORTE E SERVICOS DE PASSAGEIROS LTDA;07.110.818/0001-06;SOF-6H08;Não;Sim;Não;2025-08-19;2025-08-30;2024;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A L TUR TRANS RODOVIARIO LTDA;03.699.358/0001-42;AYP-1A22;Não;Sim;Não;2025-10-14;2025-02-27;2013;Executivo;33;33;Q - Cadeira de transbordo;Ônibus
A LIMA CARDOSO LTDA;35.572.690/0001-38;MCR-7E38;Não;Sim;Não;2025-06-09;2025-08-14;2002;Executivo;47;47;Q - Cadeira de transbordo;Ônibus
A M DOS SANTOS TRANSPORTE LTDA;14.863.960/0001-90;PKX-6085;Não;Sim;Não;2025-01-26;2025-11-26;2018;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A M DOS SANTOS TRANSPORTE LTDA;14.863.960/0001-90;QTU-4A53;Não;Sim;Não;2025-01-26;2025-12-02;2019;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A M DOS SANTOS TRANSPORTE PAZUTI LTDA;15.057.586/0001-06;CCU-6J77;Não;Sim;Não;2025-11-14;2025-11-07;2020;Executivo;19;19;Sem Acessibilidade;Micro-ônibus
A M DOS SANTOS TRANSPORTE PAZUTI LTDA;15.057.586/0001-06;EZY-7C45;Não;Sim;Não;2025-07-17;2025-08-02;2023;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A M DOS SANTOS TRANSPORTE PAZUTI LTDA;15.057.586/0001-06;SUL-7J15;Não;Sim;Não;2025-09-25;2025-11-24;2023;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A M. PORTO LOCACAO E TRANSPORTES LTDA;15.287.403/0001-30;FIG-9G04;Não;Sim;Não;2025-08-08;2025-01-02;2023;Executivo;19;19;Sem Acessibilidade;Micro-ônibus
A M. PORTO LOCACAO E TRANSPORTES LTDA;15.287.403/0001-30;FQY-2J33;Não;Sim;Não;2025-09-06;2025-01-02;2023;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A M. PORTO LOCACAO E TRANSPORTES LTDA;15.287.403/0001-30;SVS-3G48;Não;Sim;Não;2025-10-14;2025-01-02;2024;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A M. PORTO LOCACAO E TRANSPORTES LTDA;15.287.403/0001-30;TIU-7B31;Não;Sim;Não;2025-12-05;2025-01-02;2024;Executivo;21;21;Sem Acessibilidade;Micro-ônibus
A NUNES DE ARAUJO PRODUCOES ARTISTICAS LTDA;31.373.809/0001-92;QGT-4A18;Não;Sim;Não;2025-01-18;2025-11-12;2018;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A P S - TRANSPORTADORA E LOCADORA LTDA;23.324.693/0001-73;JJZ-7812;Não;Sim;Não;2025-04-28;2025-08-29;1997;Executivo;47;47;Sem Acessibilidade;Ônibus
A P S - TRANSPORTADORA E LOCADORA LTDA;23.324.693/0001-73;NGV-6003;Não;Sim;Não;2025-04-15;2025-08-29;2007;Executivo;28;28;H - Cadeira de transbordo.;Ônibus
A P S - TRANSPORTADORA E LOCADORA LTDA;23.324.693/0001-73;OFM-4031;Não;Sim;Não;2025-07-30;2025-08-04;2011;Executivo;20;20;Sem Acessibilidade;Micro-ônibus
A P SILVA TRANSPORTES LTDA;42.939.502/0001-22;MQR-0J30;Não;Sim;Não;2025-03-11;2025-08-27;1998;Executivo;46;46;Sem Acessibilidade;Ônibus
A S - TOUR LTDA;03.377.407/0001-20;MMI-1317;Não;Sim;Não;2025-10-03;2025-06-21;2011;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
A S - TOUR LTDA;03.377.407/0001-20;QHK-2H49;Não;Sim;Não;2025-06-04;2025-09-15;2015;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
A S - TOUR LTDA;03.377.407/0001-20;QIN-1J70;Não;Sim;Não;2025-04-09;2025-09-03;2015;Executivo;48;48;H - Cadeira de transbordo.;Ônibus
A W K LTDA;57.745.109/0001-75;CGR-7C65;Não;Sim;Não;2025-05-29;2025-12-03;1997;Executivo;48;48;Sem Acessibilidade;Ônibus
A. ALVES TRANSPORTE E TURISMO LTDA;08.348.422/0001-64;AUI-7J00;Não;Sim;Não;2025-08-20;2025-08-28;2016;Executivo;57;57;H - Cadeira de transbordo.;Ônibus
A. ALVES TRANSPORTE E TURISMO LTDA;08.348.422/0001-64;AWD-5006;Não;Sim;Não;2025-09-02;2025-08-17;2016;Executivo;59;59;H - Cadeira de transbordo.;Ônibus
A. C. DE OLIVEIRA DIORIO - TRANSPORTES LTDA.;16.435.849/0001-28;GGV-6H35;Não;Sim;Não;2025-10-09;2025-01-04;2015;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A. DE OLIVEIRA SERVICOS DE TRANSPORTES LTDA;21.436.974/0001-92;FPM-7F02;Não;Sim;Não;2025-11-25;2024-12-27;2023;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A. DE OLIVEIRA SERVICOS DE TRANSPORTES LTDA;21.436.974/0001-92;SUE-9G05;Não;Sim;Não;2025-10-30;2024-12-27;2024;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A. G. LOCADORA DA MONTANHA DE VEICULOS LTDA;10.687.831/0001-37;FYG-4A26;Não;Sim;Não;2025-08-06;2025-06-07;2016;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A. G. LOCADORA DA MONTANHA DE VEICULOS LTDA;10.687.831/0001-37;STB-4G15;Não;Sim;Não;2025-08-23;2025-08-26;2024;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A. M. T. MOREIRA TRANSPORTE E TURISMO EIRELI;04.491.826/0001-51;QRF-6A73;Não;Sim;Não;2025-11-25;2025-10-19;2018;Executivo;21;21;Sem Acessibilidade;Micro-ônibus
A. M. T. TRANSPORTES LTDA;21.715.187/0001-80;FPB-0G87;Não;Sim;Não;2025-01-08;2025-11-18;2018;Executivo;20;20;Sem Acessibilidade;Micro-ônibus
A. M. TRANSPORTES E TURISMO LTDA.;22.862.832/0001-50;EKH-8C79;Não;Sim;Não;2025-02-19;2025-08-20;2008;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
A. R. O. TRANSPORTE E TURISMO LTDA;03.182.929/0001-77;ALK-3995;Não;Sim;Não;2025-02-13;2025-08-20;2003;Executivo;38;38;Q - Cadeira de transbordo;Ônibus
A. R. O. TRANSPORTE E TURISMO LTDA;03.182.929/0001-77;LUL-2A64;Não;Sim;Não;2025-01-30;2025-08-20;2008;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
A. S. XAVIER DA SILVA FRETAMENTO LTDA;04.710.170/0001-10;FZN-8990;Não;Sim;Não;2025-01-30;2025-11-12;2015;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A. S. XAVIER DA SILVA FRETAMENTO LTDA;04.710.170/0001-10;KVY-7G26;Não;Sim;Não;2025-01-15;2025-09-06;2013;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A. S. XAVIER DA SILVA FRETAMENTO LTDA;04.710.170/0001-10;QKK-3C23;Não;Sim;Não;2025-02-15;2025-09-30;2016;Executivo;63;63;H - Cadeira de transbordo.;Ônibus
A. S. XAVIER DA SILVA FRETAMENTO LTDA;04.710.170/0001-10;QKM-5B50;Não;Sim;Não;2025-02-14;2025-09-06;2017;Executivo;63;63;H - Cadeira de transbordo.;Ônibus
A. T. DIAS PAULINO - TRANSPORTES - EIRELI;21.569.527/0001-01;CZX-0604;Não;Sim;Não;2025-02-23;2025-10-30;2003;Executivo;28;28;H - Cadeira de transbordo.;Ônibus
A. T. TURISMO LTDA;26.696.536/0001-87;AZN-8G96;Não;Sim;Não;2025-10-25;2025-10-25;2015;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
A. V. A. RIBEIRO TRANSPORTES LTDA;24.952.339/0001-56;BTS-1H62;Não;Sim;Não;2025-05-14;2025-09-27;1997;Executivo;50;50;Sem Acessibilidade;Ônibus
A. V. A. RIBEIRO TRANSPORTES LTDA;24.952.339/0001-56;TAK-0H98;Não;Sim;Não;2025-08-01;2025-01-06;2024;Executivo;19;19;Q - Cadeira de transbordo;Micro-ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;AQS-3I13;Não;Sim;Não;2025-03-02;2025-07-24;2008;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;ARX-3A02;Não;Sim;Não;2025-08-08;2025-08-13;2010;Executivo;27;27;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;ATL-7A82;Não;Sim;Não;2025-10-30;2025-06-01;2010;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;ATS-5F54;Não;Sim;Não;2025-09-06;2025-08-31;2011;Executivo;17;17;Sem Acessibilidade;Micro-ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;AUZ-4H91;Não;Sim;Não;2025-11-18;2025-12-18;2011;Executivo;48;48;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;AXT-1B64;Não;Sim;Não;2025-12-16;2025-06-27;2013;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;AZE-2914;Não;Sim;Não;2025-12-04;2025-06-28;2014;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BAY-1F87;Não;Sim;Não;2025-12-05;2025-07-13;2015;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BBR-5G46;Não;Sim;Não;2025-08-13;2025-06-05;2017;Executivo;56;56;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BUS-6C79;Não;Sim;Não;2025-03-16;2025-09-19;2005;Executivo;42;42;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BWF-6682;Não;Sim;Não;2025-03-10;2025-10-16;1989;Executivo;49;49;Sem Acessibilidade;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;BWP-7B43;Não;Sim;Não;2025-05-20;2025-07-11;1998;Executivo;51;51;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;CLJ-2J21;Não;Sim;Não;2025-02-07;2025-10-05;2007;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;CUA-5F56;Não;Sim;Não;2025-03-11;2025-12-01;2008;Executivo;50;50;E - Dispositivo de acesso instalado no veículo, interligando este com a plataforma.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;DAO-7485;Não;Sim;Não;2025-01-29;2025-08-20;2003;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;DJE-0I47;Não;Sim;Não;2025-06-05;2025-07-10;2005;Executivo;25;25;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;DTB-8B72;Não;Sim;Não;2025-03-28;2025-07-11;2007;Executivo;46;46;Q - Cadeira de transbordo;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;DZW-2220;Não;Sim;Não;2025-05-29;2025-12-11;2002;Executivo;51;51;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;EGJ-3F90;Não;Sim;Não;2025-03-04;2025-10-05;2009;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;EJX-7C45;Não;Sim;Não;2025-03-27;2025-11-13;2011;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;ESI-0B03;Não;Sim;Não;2025-07-11;2025-07-25;2010;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;FBF-8B16;Não;Sim;Não;2025-01-04;2025-10-04;2008;Executivo;47;47;Q - Cadeira de transbordo;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;FEI-3I69;Não;Sim;Não;2025-02-01;2025-07-21;2012;Executivo;52;52;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;GVQ-8H68;Não;Sim;Não;2025-02-10;2025-09-20;2008;Executivo;42;42;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;HBZ-2309;Não;Sim;Não;2025-11-11;2025-07-09;2009;Executivo;20;20;Sem Acessibilidade;Micro-ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;HHK-5B34;Não;Sim;Não;2025-01-12;2025-07-18;2007;Executivo;42;42;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;HIM-3H12;Não;Sim;Não;2025-01-31;2025-08-29;2011;Executivo;46;46;D - Passagem em nível da plataforma de embarque / desembarque do terminal (ou ponto de parada) para o salão de passageiros.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;HJA-3B04;Não;Sim;Não;2025-06-11;2025-07-12;2009;Executivo;50;50;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;HLD-5C54;Não;Sim;Não;2025-02-15;2025-07-27;2010;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;HSY-8D87;Não;Sim;Não;2025-01-10;2025-07-19;2008;Executivo;44;44;Q - Cadeira de transbordo;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;HWT-8G22;Não;Sim;Não;2025-04-18;2025-08-07;2001;Executivo;50;50;Q - Cadeira de transbordo;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;IGD-0F96;Não;Sim;Não;2025-02-22;2025-07-18;1997;Executivo;51;51;E - Dispositivo de acesso instalado no veículo, interligando este com a plataforma.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;IKD-4J11;Não;Sim;Não;2025-01-08;2025-10-14;2000;Executivo;56;56;E - Dispositivo de acesso instalado no veículo, interligando este com a plataforma.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;IKE-7E42;Não;Sim;Não;2025-04-10;2025-09-09;2001;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;IKU-4A76;Não;Sim;Não;2025-03-04;2025-07-24;2001;Executivo;51;51;H - Cadeira de transbordo.;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;IMU-9E34;Não;Sim;Não;2025-01-03;2025-07-18;2005;Executivo;45;45;Q - Cadeira de transbordo;Ônibus
A. W. C. TURISMO LTDA - EPP;27.071.664/0001-06;INI-5C71;Não;Sim;Não;2025-01-31;2025-08-30;2006;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
